# %ECSV 0.9
# ---
# datatype:
# - {name: DATETIME, datatype: string}
# - {name: MJD, datatype: float64}
# - {name: X, unit: pix, datatype: float64}
# - {name: Y, unit: pix, datatype: float64}
# - {name: RA, unit: deg, datatype: float64}
# - {name: DEC, unit: deg, datatype: float64}
# - {name: FLUX, datatype: float64}
# - {name: FLUX_ERR, datatype: float64}
# - {name: MAG_AUTO, unit: mag, datatype: float32}
# - {name: MAGERR_AUTO, unit: mag, datatype: float32}
# - {name: BACKGROUND, datatype: float64}
# - {name: FWHM, unit: pix, datatype: float32}
# - {name: A, unit: pix, datatype: float32}
# - {name: B, unit: pix, datatype: float32}
# - {name: THETA, unit: deg, datatype: float32}
# - {name: FLAGS, datatype: int16}
# - {name: R50, unit: pix, datatype: float32}
# - {name: MAG, unit: mag, datatype: float32}
# - {name: MAGERR, unit: mag, datatype: float32}
# delimiter: ','
# meta: !!omap
# - {DATASET: AST3}
# - {FIELD: hd136488}
# - {OBJID: 62000007}
# - {OBJECT: J151821.23-604857.04}
# - {RA: 229.588455}
# - {DEC: -60.815845}
# - {MAG: 14.9656}
# - {CREATED: '2016-01-12T02:13:27'}
# - comments: ['', 'Chinese Astronomical Data Center(CAsDC), http://casdc.china-vo.org', 'EMail: support@china-vo.org', '', 'Chinese Virtual
#       Observatory(China-VO), http://www.china-vo.org', '']
# schema: astropy-2.0
DATETIME,MJD,X,Y,RA,DEC,FLUX,FLUX_ERR,MAG_AUTO,MAGERR_AUTO,BACKGROUND,FWHM,A,B,THETA,FLAGS,R50,MAG,MAGERR
2012-04-12 20:15:38,56029.844189814816,8396.9926950763,61.99972813574661,229.5882694558174,-60.81586311780911,3543.6,269.432,15.4733,0.0825724,469.382,3.60097,1.49382,1.23556,78.418,0,2.67334,15.2977,0.0551185
2012-04-12 20:16:02,56029.84446759259,8397.064584320286,62.56982390446304,229.5883252149678,-60.81583857741142,3108.81,284.771,15.6181,0.0994791,468.425,3.49878,1.36182,1.09232,73.4852,0,2.31525,15.3243,0.0559382
2012-04-12 20:16:26,56029.84474537037,8397.70986565285,63.51982645513537,229.58859186603067,-60.81582891409658,3544.9,292.589,15.4668,0.0896364,470.124,3.13726,1.22479,1.12437,71.4113,1,2.2263,15.1872,0.0502376
2012-04-12 20:16:50,56029.84502314815,8397.657871482206,63.87110421569157,229.58859834603126,-60.81580477149896,3705.12,294.324,15.4165,0.0862687,470.079,3.88369,1.19189,1.13273,-12.8538,0,2.17063,15.1194,0.0473989
2012-04-12 20:17:14,56029.845300925925,8397.648741229423,64.49738452415164,229.58853268273776,-60.81580914984983,4706.44,253.958,15.156,0.0586002,471.496,4.17697,1.25972,1.15395,-65.4223,1,2.18619,15.034,0.0441835
2012-04-12 20:17:38,56029.8455787037,8397.892025871019,65.19170969141764,229.5885581394658,-60.81580963134708,4701.9,229.263,15.1563,0.0529529,470.81,4.16124,1.28041,1.14325,-53.3238,1,2.09211,15.0259,0.0440441
2012-04-12 20:18:02,56029.84585648148,8398.032059307725,65.4114503454159,229.58848213128712,-60.815811879597064,5265.05,241.145,15.0308,0.04974,471.579,4.01121,1.37275,1.22927,-64.9515,1,2.29917,15.0375,0.0446863
2012-04-12 20:18:26,56029.846134259256,8398.1849239551,65.92114332604834,229.5885085283547,-60.81578952407517,5196.92,207.124,15.0404,0.0432827,472.329,3.52166,1.26352,1.12002,-72.0886,1,2.04279,14.9112,0.0399479
2012-04-12 20:18:50,56029.84641203703,8398.122342673405,66.88274352775301,229.58848605892555,-60.81582317101946,5077.64,225.268,15.0558,0.04818,474.503,4.14839,1.369,1.18679,-74.5685,1,2.18521,14.9581,0.0423781
2012-04-12 20:19:14,56029.84668981482,8398.127378795763,67.25761533442682,229.58842240054696,-60.81580655287461,5980.67,238.207,14.8771,0.0432548,476.055,4.28369,1.42283,1.18206,-56.7686,1,2.33511,14.8944,0.0391487
