# %ECSV 0.9
# ---
# datatype:
# - {name: DATETIME, datatype: string}
# - {name: MJD, datatype: float64}
# - {name: X, unit: pix, datatype: float64}
# - {name: Y, unit: pix, datatype: float64}
# - {name: RA, unit: deg, datatype: float64}
# - {name: DEC, unit: deg, datatype: float64}
# - {name: FLUX, datatype: float64}
# - {name: FLUX_ERR, datatype: float64}
# - {name: MAG_AUTO, unit: mag, datatype: float32}
# - {name: MAGERR_AUTO, unit: mag, datatype: float32}
# - {name: BACKGROUND, datatype: float64}
# - {name: FWHM, unit: pix, datatype: float32}
# - {name: A, unit: pix, datatype: float32}
# - {name: B, unit: pix, datatype: float32}
# - {name: THETA, unit: deg, datatype: float32}
# - {name: FLAGS, datatype: int16}
# - {name: R50, unit: pix, datatype: float32}
# - {name: MAG, unit: mag, datatype: float32}
# - {name: MAGERR, unit: mag, datatype: float32}
# delimiter: ','
# meta: !!omap
# - {DATASET: AST3}
# - {FIELD: hd136488}
# - {OBJID: 62000006}
# - {OBJECT: J151821.06-604914.68}
# - {RA: 229.587769}
# - {DEC: -60.820744}
# - {MAG: 14.3963}
# - {CREATED: '2016-01-12T02:13:27'}
# - comments: ['', 'Chinese Astronomical Data Center(CAsDC), http://casdc.china-vo.org', 'EMail: support@china-vo.org', '', 'Chinese Virtual
#       Observatory(China-VO), http://www.china-vo.org', '']
# schema: astropy-2.0
DATETIME,MJD,X,Y,RA,DEC,FLUX,FLUX_ERR,MAG_AUTO,MAGERR_AUTO,BACKGROUND,FWHM,A,B,THETA,FLAGS,R50,MAG,MAGERR
2012-04-12 20:15:38,56029.844189814816,8379.523675114719,62.000087484178586,229.58802634515334,-60.8206978580472,4377.96,314.152,15.2437,0.0779287,471.328,3.44989,1.49547,1.45492,62.4151,0,3.01984,15.0811,0.0456067
2012-04-12 20:16:02,56029.84446759259,8379.534951955666,61.99951024929482,229.58775782916996,-60.82068627799334,5106.63,367.345,15.0793,0.0781213,471.288,3.25621,1.54917,1.37718,-83.6647,1,2.99761,14.9601,0.0406554
2012-04-12 20:16:26,56029.84474537037,8379.994635176039,62.00014771898468,229.58748351713388,-60.82072163010906,4986.76,377.976,15.0963,0.0823143,472.797,5.71883,1.49536,1.30875,-84.1946,1,2.71799,14.7898,0.0354255
2012-04-12 20:16:50,56029.84502314815,8379.935688969943,62.497404374996336,229.58757333149128,-60.82070041838433,6106.73,381.976,14.874,0.0679294,472.608,3.55757,1.44315,1.29947,-64.2722,1,2.72465,14.6575,0.0315101
2012-04-12 20:17:14,56029.845300925925,8380.03003324096,63.05469068803006,229.58747050347216,-60.82067572027521,8370.57,367.019,14.5308,0.0476172,473.393,4.84543,1.58506,1.391,-68.6881,1,2.8842,14.492,0.0274558
2012-04-12 20:17:38,56029.8455787037,8380.179847296782,63.65814982014511,229.5874436157668,-60.820701507504694,8804.88,324.524,14.4752,0.040027,473.555,4.32941,1.55489,1.37657,89.5634,1,2.70776,14.4257,0.0260683
2012-04-12 20:18:02,56029.84585648148,8380.431761554919,64.12787686674464,229.5875116176841,-60.820674470804065,9017.02,317.387,14.4467,0.0382257,474.271,3.82119,1.42327,1.28369,-80.7484,1,2.54463,14.4011,0.0256521
2012-04-12 20:18:26,56029.846134259256,8380.417890275814,64.68444346262794,229.58756288430908,-60.820698612069464,9223.92,303.307,14.4175,0.0357105,476.543,4.78247,1.37817,1.27572,-85.8048,1,2.40464,14.3424,0.0244118
2012-04-12 20:18:50,56029.84641203703,8380.542589714869,65.653947355743,229.58754808580593,-60.820680510965005,9695.94,284.072,14.3535,0.0318177,479.291,4.64751,1.32781,1.24162,-84.5174,1,2.27011,14.301,0.0239137
2012-04-12 20:19:14,56029.84668981482,8380.366312217975,66.17411267846038,229.58756494548615,-60.82071502380636,10028.8,290.052,14.3158,0.0314094,478.835,4.18129,1.26352,1.19733,-86.6335,1,2.23121,14.3082,0.0235774
2012-04-12 20:19:38,56029.846967592595,8380.621797486134,66.6840178001251,229.58758659809007,-60.820697828859394,9530.62,268.706,14.3619,0.0306187,482.688,3.92129,1.24647,1.15912,-89.9866,1,2.11847,14.278,0.0234345
2012-04-12 20:20:02,56029.84724537037,8380.38696404942,67.19286930336466,229.5875343740834,-60.820686412419015,10768.9,309.894,14.2254,0.0312514,484.137,3.97643,1.37429,1.30189,-83.183,1,2.34429,14.245,0.0230381
